q_i,a_i,dataset
does whey protein combat fat loss,"Yes, whey protein can combat fat loss by helping to decrease body fat and weight, while also helping to maintain and build muscle mass. It can also be used as a replacement for a daily snack or small meal, and can increase satiety to help people eat less.",msmarco
what degree does a neurologist need,"A neurologist needs to have a medical degree such as a Doctor of Osteopathic Medicine (D.O.), Bachelor of Medicine/Bachelor of Surgery (MBChB or MBBS), or a Doctor of Medicine (M.D.).",msmarco
what were the unforeseen consequences of the emancipation proclamation,"The Emancipation Proclamation had unforeseen consequences such as swinging foreign popular opinion in favor of the Union by gaining the support of European countries that had already outlawed slavery. It also prevented European forces from intervening in the war on behalf of the Confederacy. Additionally, it made the abolition of slavery into a Union goal, linking support for the Confederacy to support for slavery.",msmarco
independent dependent clauses examples,"Examples of independent clauses:
- I went to the store.
- She played basketball.
- They ate dinner.

Examples of dependent clauses:
- When the cake is done baking
- Because she was tired
- Since he left the room",msmarco
what makes a rhino mammal,"The fact that rhinoceros have glands that produce milk to nourish their young, are warm-blooded, and have fur or hair are the characteristics that make them mammals.",msmarco
how long does personal trainer certification take,"The duration of personal trainer certification can vary depending on the method chosen. It can take as little as a few days for certification in specific exercises, up to 6-8 weeks for testing at a monitored testing center. Additionally, workshops typically last 3 days, online programs take 4-6 weeks, and average online courses take 6-12 weeks to complete. Overall, the average training program takes around 6 months to complete.",msmarco
genetically modified bacteria for human use,c. genetically engineered bacteria can mass produce pure human proteins.,msmarco
what do instrument techs do,"Instrument technicians monitor atmospheric and environmental changes in industrial areas and buildings using various instruments, calibrate, install, repair, and inspect monitoring devices. They may also perform general maintenance on equipment and design new measuring and recording equipment. In the medical field, instrument technicians clean, maintain, and test medical instruments, operate equipment under the direction of a physician, and may specialize in one specific area of expertise. Surgical instrument technicians sterilize and prepare instruments for use in surgeries and may be considered part of the surgical team. Guitar technicians maintain and set up musical equipment for guitarists during concert tours.",msmarco
average telephone cost,"The average cost of telephone bills for cell phones can vary widely depending on the number of phones and the type of plans. Basic plans for one person usually start at around $40 a month, but many people with more than one cell phone commonly pay $100 a month or even more. Additionally, household telephone bills that include landline phones can also contribute to the overall average cost.",msmarco
which structures are found in every living cell,The structures found in every living cell are the cell membrane and the cytoplasm.,msmarco
article definition constitution,"An article in the constitution refers to the different sections or divisions that make up the document. Each article outlines specific aspects of the government structure, roles and responsibilities, and the rights of the citizens. For example, Article II defines the responsibilities and powers of the President and the executive branch, while Article III creates the judicial branch, including the court system that interprets the law.",msmarco
what does pegged mean,"Pegged means to fix the exchange rate of one country's currency to another country's currency, or to a specific commodity like gold. It is a method of stabilizing a country's currency by tying it to the value of another currency.",msmarco
define stigma in biology,"In biology, the stigma is the receptive tip of a carpel or fused carpels in the gynoecium of a flower. It receives pollen and is where the pollen grain germinates. The stigma can be adapted in various ways to catch and trap pollen, often being sticky or hairy.",msmarco
can i merge two pictures together,"Yes, you can merge two pictures together using the Picture Merge Genius software. You can right-click on one of the images and open it in Microsoft Paint, then paste the second image onto the first. Alternatively, you can use the Combine Images tool within Picture Merge Genius to merge multiple images into one.",msmarco
what is the average climate in delaware,"The average climate in Delaware is described as humid temperate, with hot summers and mild winters. The mean annual temperature ranges from 54°F to 58.1°F, with average annual precipitation of approximately 45 inches statewide. The state has a continental climate with cold winter temperatures, hot summers, and ample precipitation throughout the year. Annual precipitation amounts can vary greatly from one year to another.",msmarco
who is ben johnson the actor,"Ben Johnson, the actor, was an American stuntman, world champion rodeo cowboy, and Academy Award-winning actor known for his roles in Western movies such as Hang 'Em High and The Last Picture Show. He was born on June 13, 1918, in Foraker, Oklahoma, and was the son of a rancher and a champion rodeo steer roper. Johnson also worked as a stuntman, horse wrangler, and double for stars like John Wayne, Gary Cooper, and James Stewart. He won an Academy Award for his role in The Last Picture Show and was also known for his portrayal of Sam the Lion in the same film. Johnson passed away on April 8, 1996.",msmarco
what should your pulse rate be per minute,"Your pulse rate should be between 60 and 100 beats per minute at rest. However, it can vary based on factors such as fitness level, age, and gender. Highly trained athletes may have a resting pulse rate closer to 40 beats per minute.",msmarco
when was epa created,The EPA (Environmental Protection Agency) was created in December 1970 by executive order of President Richard Nixon.,msmarco
how to treat dehydration,"To treat dehydration, it is important to replace lost fluids and electrolytes. This can be done by drinking plenty of fluids, such as water, diluted squash, or diluted fruit juice. It's recommended to drink small amounts of fluid often to avoid vomiting, and to aim for at least 10 glasses of liquid a day to replace lost fluids. Rehydration drinks, water, juice, or sports drinks can also be used to replace fluids and minerals. Additionally, removing any extra clothes can help with rehydration. If the dehydration is severe, medical care should be sought.",msmarco
how long does it take to start collecting disability if you have a lawyer,"If you have a lawyer and are approved for disability benefits, it can take approximately two weeks to two months or more to start receiving benefits, depending on whether you applied for Social Security only or both Social Security and Supplemental Security Income (SSI).",msmarco
what does imbowers mean,"Imbowers means to enclose, to shut up in a bower, which was the private room of a medieval lady.",msmarco
is it safe to drive jeep with faulty input speed sensor,"It is not safe to drive a Jeep with a faulty input speed sensor. A faulty input speed sensor can cause the speedometer to fluctuate and the transmission to shift erratically, potentially leading to unsafe driving conditions. It is best to have the vehicle checked by a professional to ensure that the speed sensor is functioning correctly.",msmarco
what is broth,"Broth is a thin soup made with meat, fish, or vegetable stock, typically simmered for a short period of time. It can be used as a base for soups, sauces, or other dishes, and may contain nutrients suitable for culturing microorganisms. It can also be eaten alone or with garnish.",msmarco
what year did women's rights pass canada,Women's rights passed in Canada in 1918.,msmarco
what is palm oil used for,"Palm oil is used for preventing vitamin A deficiency, cancer, brain disease, aging; and treating malaria, high blood pressure, high cholesterol, and cyanide poisoning. It is also used for weight loss and increasing the body’s metabolism. Additionally, palm oil is used for frying and is a common cooking ingredient in the tropical belt of Africa, Southeast Asia and parts of Brazil.",msmarco
average salary for boilermaker,"The average salary for a boilermaker varies depending on factors such as experience, location, and level of education. In the United States, the median expected annual pay for a typical Boilermaker I is $36,430. In Canada, the median salary for boilermakers ranges from $70,000 after one to two decades on the job to $81,000 for veterans with over 20 years of experience. Hourly wages in Canada range from $32.40 in Winnipeg to $40.21 in Edmonton and Calgary, Alberta.",msmarco
what year was the first harry potter movie released,"The first Harry Potter movie, Harry Potter and the Philosopher's Stone, was released in 2001.",msmarco
what does inuit mean,"Inuit means ""the people"" and refers to a group of culturally similar indigenous peoples inhabiting the Arctic regions of Greenland, Canada, the United States, and Russia.",msmarco
what a finance manager does,"A finance manager is responsible for overseeing the finances of an organization, including producing financial reports, directing investment activities, developing long-term financial strategies, and making decisions regarding income, costs, payroll, investments, mergers, and acquisitions. They also coordinate accounting, produce financial reports, cash-flow statements, and profit projections, and are often responsible for capital budgeting and the efficient and effective management of money to accomplish the objectives of the organization. Additionally, they often work closely with other members of the management team and lead teams of accountants.",msmarco
how much does it cost to demolish a house in melbourne,"The cost of demolishing a house in Melbourne can vary, with one individual mentioning a cost of $14,500 and another mentioning a cost of $3,500 for removing a specific type of asbestos cladding. Additionally, there is mention of an official disposal site in Melbourne where the total cost for disposal of 300kg's of waste, including asbestos, was $17. However, another individual mentioned that the cost of demolition can be around $5,000 according to a newspaper article. Therefore, it seems the cost of demolishing a house in Melbourne can range from $3,500 to $14,500 or more, depending on factors such as the size of the house, presence of asbestos, and other specific requirements.",msmarco
the tide rises the tide falls comprehension questions,"The comprehension questions for ""The Tide Rises, the Tide Falls"" could include:
1. Why a traveler?
2. What effect does this poem's form (3 stanzas, 5 lines each) have?
3. How would you describe the tone of this poem?
4. Who do you think Longfellow had in mind when he wrote this poem?
5. What is the effect of the refrain in this poem anyway?
6. You can infer from details in “The Tide Rises, the Tide Falls” that the traveler — (multiple choice)",msmarco
when was the first image to be recorded and made permanent,The first image to be recorded and made permanent was taken by Joseph Nicephore Niépce in 1826 or 1827.,msmarco
what kind of food does chipotle have,"Chipotle specializes in Mission burritos and tacos, using organic ingredients and serving more naturally raised meat than any other restaurant chain. Their menu is focused on fast casual dining, with a focus on food with integrity.",msmarco
what does the initial fee cover,"The initial franchise fee covers the cost of training, recruiting, territory analysis, site identification, specialist equipment, stationary, and franchisee launch.",msmarco
what is a procurator,"A procurator can refer to a Roman official entrusted with the financial and administrative affairs of a province, an agent appointed to manage another's affairs, or a lawyer representing others in court in countries retaining Roman civil law. In ancient Rome, a procurator was also someone employed by the Roman Emperor to manage finance and taxes.",msmarco
what is a sea,"A sea is a large body of salt water that is surrounded in whole or in part by land. It can also refer to the interconnected system of Earth's salty, oceanic waters considered as one global ocean or as several principal oceanic divisions.",msmarco
best thing to use to clean car paint sprayers with,"The best thing to use to clean car paint sprayers is a cleaner known as gun wash, which is sprayed through the jets and can be used with a paint gun cleaning cabinet for the easiest method.",msmarco
is writing permitted on chol hamoed,"Writing is generally forbidden on Chol Hamoed, but there are certain situations where it is permitted, such as writing a list for Chol Hamoed use, writing in a non-standard way, or writing for a specific enjoyment on the holiday. However, it is important to keep in mind that writing on Chol Hamoed should be done for the sake of the holiday and not for regular work purposes.",msmarco
what is shea butter,"Shea butter is a natural fat extracted from the seed of the African shea tree. It can be unrefined or refined and is used for moisturizing skin, hair conditioning, cooking, making candles, and other purposes. Unrefined shea butter retains all of its natural healing properties and can also be used as a cooking oil.",msmarco
what should i charge for transcription services,"Based on the provided information, the average cost for medical transcription services is usually around 12 to 15 cents per 65-character line. However, the prices can range from 7 to 20 cents per line. It is also suggested to charge a flat rate for transcription services, such as $9 per 500-word page. Additionally, it is recommended to determine the charge based on the specific job, such as per hour for transcription and per word for translation. Lastly, it is noted that a per minute rate can work best for charging for transcription work.",msmarco
what is the bacterium that destroys lung tissue,"The bacterium that destroys lung tissue in the context provided is the Mycobacterium tuberculosis bacillus, which causes tuberculosis.",msmarco
how do i know if salmon is off,"To know if salmon is off, you can use your sense of smell, sight, and touch. Fresh salmon should have a mild aroma, similar to the sea, and should not have a strong fishy smell. The flesh should be firm and have a shiny appearance, with a deep pink or orange color, and should not be dull. Check the eyes of a whole salmon to see if they are clear. If the salmon smells very strong, sour, or like ammonia, or if it has a mushy texture, dull appearance, or dark/white spots on the flesh, it is likely bad and should be discarded. If in doubt, it is best to err on the side of caution and not consume the salmon.",msmarco
navy jobs per asvab score,"Navy jobs are determined by ASVAB subtest scores, with different subtests required for different ratings. The minimum ASVAB subtest scores for specific Navy job ratings can be found in a table provided by the Navy. Additionally, the AFQT score, which is a version of the ASVAB score, is used to determine qualification for jobs in the Navy. The AFQT score ranges from 1 to 99 and is categorized into eight categories. Lastly, the AFQT standard (raw) score is computed based on the formula 2VE+AR+MK, and this score is compared to a chart to produce the true AFQT score.",msmarco
what produces antibodies,"The lymph system produces antibodies as a response to the invasion of a foreign substance. Specifically, the process of antibody formation begins when an antigen stimulates specialized lymphocytes, called B cells, into action, leading to the production of antibodies.",msmarco
how much does it cost to buy a gecko,"The cost of buying a gecko can vary widely depending on factors such as the breed, age, and where it is purchased. The average cost ranges from $20 to as much as $500, with some being sold for as little as $15 in certain locations, and others being sold for $250 or more. Additionally, the start-up costs, including the tank and food, can amount to $150 to $200.  Specialty breeds and rare species can cost anywhere from $100 to $500. Overall, the cost of purchasing a gecko can vary greatly depending on these factors.",msmarco
recommended salary for electronics technician,"The recommended salary for an electronics technician would vary based on factors such as specialization, industry, company size, location, years of experience, and level of education. The average salary for electronics technicians is around $42,274, with a median salary of $41,974. Salaries can range from $22,298 to $90,000, with differences in average wages depending on the state. For example, the highest average wages for electronics engineering technicians are in California and Rhode Island, with average salaries of $107,450 and $110,190, respectively. The salary for pharmacy technicians, who are related but different, may be around $28,500, but the average salary for electronics technicians is generally higher. So, due to varying factors, the recommended salary for an electronics technician can be influenced by numerous possibilities.",msmarco
average owner operator take home pay,"The average take home pay for an owner operator is approximately $35,000-$50,000 per year, with a first year average of $42,500.",msmarco
are chickpeas and garbanzo beans the same,"Yes, chickpeas and garbanzo beans are the same. They are both common names for a plant species named Cicer arietinum and share the same scientific classification, uses, types, and other identifying characteristics. The terms ""chickpea"" and ""garbanzo"" are often used interchangeably and are just a language difference between English and Spanish-speaking people.",msmarco
meaning of the name erika,"The meaning of the name Erika is ""Always Ruler"" or ""Complete Ruler."" It is of Scandinavian origin and is commonly given to girls. It can also mean ""Ever or Eternal Ruler"" in Norse. In Teutonic, it means ""noble,"" and in Hungarian, it means ""powerful.""",msmarco
what is inductance,"Inductance is the property of an electric circuit by which an electromotive force is induced by a change of current in the same circuit (self-inductance) or in a neighboring circuit (mutual inductance). It is also the measure of this property, equal to the ratio of the induced electromotive force to the rate of change of the inducing current. In simpler terms, inductance is the property of an electrical conductor by which a change in current induces an electromotive force.",msmarco
what do cane toads eat,"Cane toads eat a variety of animals, including insects, invertebrates, small lizards, frogs, birds, fish, mice, bees, worms, dung beetles, scarab beetles, and even younger cane toads. They are also known to eat smaller rodents like mice, as well as frogs and reptiles. Additionally, their tadpoles eat algae and other aquatic plants.",msmarco
cost of foundations for extension,"The cost of foundations for an extension can vary, but for a 60m2 concrete slab foundation, the cost is estimated to be £5,000 to £6,000. This includes the foundations and slab. In addition, the cost for drains in normal ground conditions is estimated to be about £3,500. It's important to factor in any additional unforeseen costs and have a contingency amount of 10-15% set aside for such scenarios.",msmarco
where is gotham filmed,"Gotham City is filmed in various locations, including New York City, Los Angeles, Chicago, Pittsburgh, London, Tokyo, and Hong Kong. In addition, the Batman movies were filmed in soundstages for some city scenes.",msmarco
muscle spasm definition,"A muscle spasm is an involuntary and abnormal contraction of muscle or muscle fibers, or of a hollow organ, that consists largely of involuntary muscle fibers. It can cause a great deal of pain and may occur in various parts of the body, including the back and coronary artery. Muscle relaxants and exercise therapy are typically used to treat muscle spasms.",msmarco
how many timeouts can you call in basketball,"In televised basketball games, each team receives a single 60-second timeout per game and an additional four 30-second timeouts per game. Each team can carry over three of the 30-second timeouts into the second half of the game.
The NBA has 20 second and regular timeouts. Each team is entitled to one 20 second timeout per half and six regular timeouts per game. 
High school teams are allowed 5 time outs: 3 – 60 second time outs and 2 – 30 second time outs.
In college basketball, televised games feature four timeouts per half, to allow for commercial breaks. Each team also receives one 60-second timeout, and four 30-second timeouts.

The number and length of timeouts varies widely among various basketball leagues.",msmarco
what is the cost to hire a wedding planner,"The cost to hire a wedding planner can vary greatly depending on the type of planner and the region. The national average cost according to The Association of Bridal Consultants is $3,262, but it can range from $1,000 to $5,000 or more. Full-service planners may charge around $5,000 or more, with some experienced planners charging possibly $10,000 or more. The average cost for a wedding consultant is $3,636 in the northeast and $2,635 in the south. Some planners may also charge a percentage of the wedding budget, usually 10-15%, or a flat fee ranging from $2,500-5,500 for full coordination.",msmarco
what is rock shrimp,"Rock shrimp (Sicyonia brevirostris) is a species of deep-water shrimp that is similar in texture and flavor to lobster, and is often referred to as ""the small lobster."" It has a firm and slightly chewy texture, with a sweet flavor similar to that of lobster. Rock shrimp are typically available fresh from July through November and are often sold without their hard, spiny shell. They are known for their rock-like hard shells and are often mistaken for miniature lobster tails. They can be boiled or broiled, and cook more quickly than other types of shrimp. Rock shrimp are widely available either fresh or frozen and are found along the coasts of the western Atlantic Ocean and Gulf of Mexico.",msmarco
what does the imrc valve do,"The IMRC (Intake Manifold Runner Control) valve controls the ratio of air to gas in a car by opening and closing butterfly valves in the intake manifold. It is a vacuum-controlled actuator that opens butterfly valves at high RPM to allow plenty of air to enter the cylinders, while restricting airflow through the valved port at low speeds to keep the airflow even to all the cylinders. The IMRC valve helps to optimize engine performance and emission control.",msmarco
how do i fix a dent in my car,"There are several options for fixing a dent in your car. You can use dry ice, a hair dryer, and compressed air to try to remove the dent yourself. If the paint is unaffected, you can attempt a do-it-yourself method using tools like body hammers and dollies. For larger or more difficult dents, it's recommended to obtain a professional car dent estimate and have a technician remove the paint from the dent and fix it. Another alternative is to watch tutorial videos online that demonstrate various dent repair methods including using a plunger, hair dryer, and compressed air.",msmarco
who won the pa senate primary,"Incumbent Democratic U.S. Senator Bob Casey, Jr. won the Pennsylvania Senate primary in 2012.",msmarco
lotto max prize amounts,"The LOTTO MAX jackpot prize amount is capped at $50 million, and if it exceeds this amount, the excess is drawn as separate $1 million MAXMILLIONS prizes. The maximum jackpot prize cap is $60 million. Additionally, there are other prize categories such as the 6/7+Bonus category and the $100,000 EXTRA prize.",msmarco
who is rinpoche,"The given context includes information about multiple individuals referred to as ""rinpoche,"" including Sogyal Rinpoche, Khentrul Lodroe Lodrö Thaye, and Yongey Mingyur Rinpoche. Therefore, it is not specified which rinpoche is being referred to in this context.",msmarco
how long will cooked rice stay good in refrigerator,Cooked rice should be used within 3-4 days of refrigeration. It can be stored in the refrigerator for up to 3 days and up to 6 months in the freezer.,msmarco
what is cholesterol made of,Cholesterol is a waxy substance made of fat (lipid) on the inside and proteins on the outside.,msmarco
surfactant is a phospholipid that reduces,"Surfactant is a complex substance containing phospholipids and a number of apoproteins, and it reduces the surface tension throughout the lung, thereby contributing to its general compliance.",msmarco
how much does a cad design cost,"CAD design software costs vary depending on the specific software and its version. For example, Alibre Design licenses do not expire, and the cost to reinstate a lapsed subscription ranges from $299 to $599, depending on the software version. AutoCAD software can range from $900 to $7,000, depending on the version and year. TurboCAD is priced at $1,295 for the retail version and $699 for an upgrade, with a full version for educators/students priced at $149.95. SolidWorks has a basic commercial license of $3,995 and an annual subscription service for $1,295. AutoCAD costs $1,680.00. These are just a few examples, and pricing can vary for different CAD design software platforms.",msmarco
what was mouthwash originally used for,Mouthwash was originally used as a surgical antiseptic before it was later used as a mouth-washing product.,msmarco
is contrast allowed with arthrography,"Yes, contrast material is allowed with arthrography. It is used in direct arthrography to help visualize the joint structures and for diagnostic purposes. It can be injected directly into the joint or absorbed into the joint through indirect arthrography. The contrast material helps in evaluating joint abnormalities and can be used in conjunction with MRI or CT scans.",msmarco
when your height is shrinking,"There are several reasons why your height may be shrinking as you age. One reason is the natural loss of bone density in the spine, which can cause the discs between the vertebrae to flatten and the spine to stoop, resulting in a decrease in height. Additionally, the decreased ability of the body to replace new bone tissue can lead to brittle bones and a condition known as osteoporosis, which can also contribute to height loss. Height loss can also be a warning sign of future health issues such as hip fractures, spinal fractures, and heart disease. Although some amount of height loss is normal with age, losing too much height too rapidly can indicate a high risk for these health problems. It's important to discuss any concerns about height loss with a primary care physician.",msmarco
why do molecules of starch need to be digested,"The molecules of starch need to be digested in order to break them down into simpler forms that the body can use. This process allows the starch to be converted into sugars or glucose, which can then be absorbed into the bloodstream and utilized by the body for energy and other essential functions.",msmarco
how to make pdf jpg,"To convert a PDF to a JPG, you can print the PDF using a virtual printer, which will save the document as a PDF graphic file (JPEG). You can also use a PDF converter to convert images (jpeg, png, gif, bmp, jpg) to PDF files by opening the image with a viewer, clicking on Print, and selecting the PDF printer to convert the image to PDF. Additionally, you can use software like Photoshop or GIMP to save/export the image as a JPG, and then use a PDF creator program to convert the JPG to a PDF.",msmarco
where does amber come from,"Amber comes from the fossilized resin of ancient coniferous trees. It can be found in various locations around the world, including the areas surrounding the Baltic Sea (Baltic amber), Mexico, the Dominican Republic, Tanzania, California, and Siberia. Amber is formed from the fossilized resin of certain trees and is not produced from tree sap.",msmarco
what function do human intestinal bacterial symbionts serve,Human intestinal bacterial symbionts serve in the production of Vitamin K.,msmarco
how much do chefs get paid,"Chefs in the U.S. can earn anywhere from under $22,120 to more than $74,060 annually, depending on their job title, experience, and location. The average salary for an executive chef is around $71,666, with the national average being $75,596. Sous chefs have a median salary of $40,630 yearly. Line cooks locally earn between $12 to $15 per hour, although in some areas the average salary for a chef can be as high as $85,000 a year.",msmarco
how long do you have to arrive before departure eurotunnel,"For the Eurotunnel, the recommended check-in time is at least 30 minutes before the booked departure time.",msmarco
henry origin of name,The name Henry has origins in both English and German.,msmarco
how long keep IRS records,"IRS records should be kept for at least three years from the April 15 filing deadline, but in some cases, it may be necessary to keep certain records for longer, such as up to seven years in the case of retirement account tax forms, claims for loss of worthless securities, or bad debt deductions. It is also recommended to keep records indefinitely if you do not file a return or file a claim for credit or refund after filing your return.",msmarco
what is the language of russia spoken,The official language of Russia is Russian.,msmarco
what team was winslow drafted by,Justise Winslow was drafted by the Miami Heat.,msmarco
how do you find a fraction of a quantity,"To find a fraction of a quantity, you first divide the quantity by the denominator of the fraction. Then, you multiply the result by the numerator of the fraction. For example, to find 2/3 of 12, you would divide 12 by 3 (which equals 4), and then multiply 4 by 2 (which equals 8). So, 2/3 of 12 is 8.",msmarco
what is voc energy trust,"VOC Energy Trust is a Delaware statutory trust formed to own interests from production from substantially all of the interests in oil and natural gas properties in the states of Kansas and Texas held by VOC Sponsor. The company operates as a statutory trust and its business and affairs are managed by The Bank of New York Mellon Trust Company, N.A. It was founded in 2010 and its headquarters is in Austin, Texas. VOC Energy Trust owns a term net profits interest of the net proceeds from production of the interests in oil and natural gas properties in Kansas and Texas.",msmarco
meaning of name nairi,"The meaning of the name Nairi is ""land of canyons"" in Armenian.",msmarco
what units is surface area measured in,"Surface area is measured in square units, such as square centimeters (cm^2) or square meters (m^2).",msmarco
when were the states of italy united,The modern Italian state began to form in 1861 with the unification of most of the Italian peninsula into the Kingdom of Italy. This process of unification is known as the Risorgimento and took place throughout the 19th century.,msmarco
medium chain triglycerides food sources,"Coconut oil, palm oil, and butter are natural food sources of medium-chain triglycerides. Coconut oil has the highest naturally occurring percentage of MCTs, composing nearly 60% of its total fat content.",msmarco
how long does a background check last,"A background check can typically be completed within 1-3 business days, but it can take up to a week for a formal check. However, an FBI background check usually takes around 30 days.",msmarco
how long to process provisional patent,"The processing time for a provisional patent application can vary, but it generally takes up to 12 months.",msmarco
what are illegal opioids,Heroin is a semi-synthetic opioid derived from morphine that is illegal in the United States.,msmarco
average pt school gpa,"The average GPA for physical therapy schools is approximately 3.50, although there may be variations between different schools. Some schools have an average GPA as high as 3.7, while others may have lower averages around 3.2 or even 3.0.",msmarco
when was greenpeace founded,Greenpeace was founded in 1971.,msmarco
what do physiotherapy assistants do,"Physiotherapy assistants work under the direction and supervision of a licensed physiotherapist to provide physical therapy services. They help patients of all ages with medical or health-related conditions that limit their ability to move and perform functional activities in their daily lives. This may involve assisting in restoring or improving movement, treating physical limitations based on the treatment plan set up by the physiotherapist, and providing direct care to patients.",msmarco
define celestial equator astronomy,"The celestial equator in astronomy refers to the great circle on the celestial sphere that is in the same plane as the Earth's equator, and is perpendicular to the line joining the north and south celestial poles. It is a projection of the terrestrial equator out into space and is defined to be infinitely distant on the celestial sphere. The celestial equator is inclined by 23.4° with respect to the ecliptic plane due to the Earth's axial tilt, and is always seen as a straight line from all latitudes on Earth.",msmarco
postcode smithfield nsw,"The postcode for Smithfield, NSW is 2164.",msmarco
dna differs from rna in what,"DNA differs from RNA primarily in the type of sugar present in the molecules. DNA contains deoxyribose sugar, while RNA contains ribose sugar. Additionally, DNA is double-stranded, uses the base thymine, and is found only inside the nucleus, while RNA is usually single-stranded, uses uracil in place of thymine, and can pass through the nuclear envelope from the nucleus to the cytoplasm.",msmarco
how many calories carbs in a medjool date,A medjool date contains 66 calories and 18 grams of carbohydrates.,msmarco
how to upload a pdf document in joomla,"There are several ways to upload a PDF document in Joomla:
1. Use the JCE editor to upload the PDF file directly into a new article.
2. Use the Joomla Media Manager to upload the PDF file to a specific folder and then insert the link into your content page.
3. Use Google Docs to help embed a PDF file into a Joomla 2.5 article by inserting the embed code into your Joomla article using the code editor.",msmarco
how long italian sausage good refrigerated,"Italian sausage can be refrigerated for up to 5-7 days if it is cooked and kept at 40 degrees F. If it is raw, it should be consumed within 3-4 days.",msmarco
average bathroom renovation cost vic,"The average cost of a bathroom renovation in Victoria BC can range from $5,000 up to $30,000, depending on the amount of work and changes being implemented. This cost can vary based on the size of the bathroom, the inclusions desired, and whether a contractor is hired to do the work. On average, a complete bathroom renovation in 2013 was about $15,000, and in 2015 it was estimated to be around $15,500 to $16,000.",msmarco
effects of cranberry juice,"The effects of cranberry juice can include mild stomach upset, diarrhea, and an increased risk of developing kidney stones if consumed in excessive amounts. Additionally, cranberry juice may contribute to weight gain and could cause gastrointestinal disturbance if consumed excessively. However, it is generally considered safe when consumed in moderation. Drinking cranberry juice or taking certain cranberry extracts may also lower the risk of repeated urinary tract infections in some people.",msmarco
spine mri without or with contrast,"An MRI of the spine, with or without contrast, is done to find problems with the spinal discs, such as a ruptured disc, and to show if a disc is pressing on a nerve, causing symptoms such as sciatica. The contrast material used in MRI exams is less likely to produce an allergic reaction than the contrast materials used for conventional x-rays and CT scanning. In some cases, a contrast material may be used during the MRI to show certain parts of the body more clearly. Additionally, MRI with and without contrast may be indicated if non-contrast MRI is nondiagnostic or indeterminate. MRI is preferred over myelography and postmyelography CT, but may be indicated if MRI is nondiagnostic.",msmarco
what colour is tizer,Tizer is a red-colored soft drink.,msmarco
what is secreted by hypothalamus,"The hypothalamus secretes releasing hormones or hypothalamic hormones, which in turn stimulate or inhibit the secretion of pituitary hormones. Some specific examples of these hormones include gonadotropin-releasing hormone (GnRH), thyrotropin-releasing hormone, growth hormone-releasing hormone, corticotrophin-releasing hormone, somatostatin, and dopamine hormones.",msmarco
viruses that cause hepatitis,"The viruses that cause hepatitis include hepatitis A, B, C, D, and E. Additionally, hepatitis can also be caused by other viruses, toxic substances, autoimmune diseases, and certain medications.",msmarco
what antibiotic is taken for a bladder infection,Trimethoprim and Nitrofurantoin are both antibiotics that are commonly used to treat bladder infections.,msmarco
until what age can a dog get parvo,"Dogs of any age can get parvo, but puppies 6-20 weeks old are most susceptible, especially if they have not completed their vaccination series.",msmarco
how much does a lipid panel cost,"The cost for a lipid panel can range from $10 to $10,169, with some pharmacies offering the test for as low as $15 and walk-in clinics typically charging around $50-$100 per visit, which would likely include the lipid panel cost. Additionally, the cost can vary based on location and whether the patient has health insurance coverage.",msmarco
where was the bauhaus built,"The Bauhaus was initially built in Weimar, then moved to Dessau in 1925, and was ultimately disbanded in 1933 in Berlin.",msmarco
what does blood lactate do to the body,"Blood lactate levels can indicate the presence of a disease or condition, as well as the severity of the condition. High lactate levels in the blood can indicate that a person's body is experiencing low oxygen levels, causing organs to not function properly. Additionally, the lactate test measures the level of lactate in the blood at a given point in time, providing information about the presence of lactic acidosis, sufficient oxygen at the cellular level, and the cause of signs and symptoms.",msmarco
what muscles are used in shooting in netball,"The muscles used in shooting in netball include the triceps, biceps, deltoids, extensors, flexors, pectoralis majors, and shoulders.",msmarco
how to determine hair type and texture,"To determine your hair type and texture, you can start by understanding your curl pattern, porosity, density, and length of your hair. After washing your hair and allowing it to air dry without product, you can assess your curl pattern, which is divided into three main categories: Wavy Type 2, Curly Type 3, and Coily Type 4. You can also consider the porosity of your hair, which refers to how easily your hair is able to absorb and hold moisture. Additionally, you can use the Texture Typing℠ system to create a hair profile and identify the unique properties and needs of your hair.",msmarco
how long does it take to bake raw chicken legs,"It takes approximately 35 to 40 minutes to bake raw chicken legs at 400°F, or 45 to 50 minutes at 375°F.",msmarco
where are earth most active volcanoes located,"Most of the Earth's most active volcanoes are located along the Pacific Ring of Fire, including in countries such as Indonesia, Japan, the Philippines, and the West Coast of the Americas. This area is known for its frequent earthquakes and powerful volcanic eruptions. Additionally, there are active and dormant volcanoes within the Ring of Fire, totaling more than 450 in number.",msmarco
nose tip surgery cost,"The cost of nose tip surgery ranges from $5000 to $6400 for a tip rhinoplasty and $7600 for a full rhinoplasty. The total cost includes the surgeon's fee, operating room fee, anesthesia fee, and all follow-up office visits.",msmarco
what is bronze,"Bronze is an alloy consisting primarily of copper, usually with tin as the main additive, but sometimes also with other elements such as phosphorus, manganese, aluminum, or silicon. It is a metal alloy used extensively in everyday objects.",msmarco
what are galilean moons made of,The Galilean moons of Jupiter are primarily made of rock and ice.,msmarco
